event_id,payment_id,timestamp,amount,currency,payment_method,bank,region,status,failure_reason,latency_ms,customer_id,attempt_number
evt_0014717,pay_0014717,2026-08-01 00:00:52.795308,821.33,INR,UPI,KOTAK,TS,success,,1678.24,cust_005608,1
evt_0005715,pay_0005715,2026-08-01 00:01:04.606482,225.93,INR,NETBANKING,KOTAK,TS,success,,5168.09,cust_004326,1
evt_0003910,pay_0003910,2026-08-01 00:01:24.561240,175.81,INR,WALLET,KOTAK,KA,failed,network_error,1452.54,cust_003423,1
evt_0018260,pay_0018260,2026-08-01 00:01:41.190480,427.2,INR,WALLET,KOTAK,TN,success,,741.14,cust_003008,2
evt_0012736,pay_0012736,2026-08-01 00:01:42.043947,206.57,INR,WALLET,SBI,DL,success,,1146.93,cust_001083,1
evt_0010691,pay_0010691,2026-08-01 00:01:47.965030,47.1,INR,NETBANKING,ICICI,AP,success,,4506.16,cust_004415,1
evt_0006905,pay_0006905,2026-08-01 00:05:32.007572,769.61,INR,NETBANKING,HDFC,TN,success,,3062.64,cust_003052,1
evt_0009512,pay_0009512,2026-08-01 00:09:13.976361,1571.17,INR,NETBANKING,HDFC,DL,success,,4048.88,cust_000921,1
evt_0003589,pay_0003589,2026-08-01 00:10:27.225269,402.08,INR,CARD,AXIS,DL,success,,2316.68,cust_005233,1
evt_0016925,pay_0016925,2026-08-01 00:10:56.356789,393.25,INR,CARD,HDFC,MH,success,,2884.11,cust_002911,2
evt_0019195,pay_0019195,2026-08-01 00:13:02.552466,52.81,INR,WALLET,HDFC,MH,success,,1160.84,cust_003580,1
evt_0015363,pay_0015363,2026-08-01 00:16:28.569956,2063.25,INR,NETBANKING,ICICI,KA,failed,timeout,7023.38,cust_003524,1
evt_0007893,pay_0007893,2026-08-01 00:17:48.574867,448.88,INR,CARD,HDFC,AP,success,,2937.09,cust_003297,1
evt_0008375,pay_0008375,2026-08-01 00:18:34.626355,130.86,INR,UPI,KOTAK,TS,success,,1715.42,cust_000214,1
evt_0013339,pay_0013339,2026-08-01 00:18:59.126317,1800.92,INR,WALLET,HDFC,AP,success,,818.2,cust_003195,2
